user_id,image_paths,user_claim,claim_object,evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
user_001,images/sample/case_001/img_1.jpg,"Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.",car,True,The claimed object and part are visible with sufficient image quality,none,dent,rear_bumper,supported,"The rear bumper is severely dented, crumpled, and appears to be missing its outer cover, exposing the internal structure.",img_1,True,medium
user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",car,True,The claimed object and part are visible with sufficient image quality,wrong_object;manual_review_required,scratch,front_bumper,supported,Multiple scratches and scuff marks are visible on the damaged area of the front bumper.,img_1,True,low
user_004,images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg,"Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.",car,True,The claimed object and part are visible with sufficient image quality,user_history_risk;manual_review_required,crack,windshield,supported,The windshield has a severe impact point with extensive spiderweb shattering across a large portion of the glass.,img_1,True,medium
user_007,images/sample/case_004/img_1.jpg,"Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.",car,True,The claimed object and part are visible with sufficient image quality,manual_review_required,broken_part,side_mirror,supported,The visible evidence supports the claim,img_1,True,high
user_005,images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg,"Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.",car,True,The claimed object and part are visible with sufficient image quality,user_history_risk;manual_review_required,dent,rear_bumper,supported,Multiple shallow dents are visible on the silver rear bumper.,img_1,True,medium
user_006,images/sample/case_006/img_1.jpg,"Customer: Hi, I am not fully sure how to explain this because I noticed it only after reaching home. | Support: No problem, please tell me what happened. | Customer: There was a small bump earlier, nothing major, and I first thought everything was fine. Later I looked at the car again because my family member said the front area looked different. | Support: Are you reporting a general vehicle issue or a specific damaged part? | Customer: I was confused at first because I checked the side and the front and walked around the car a few times. I do not want to claim the wrong thing. | Support: That is okay. What part do you want reviewed? | Customer: After checking again, I think the issue is with the headlight. It looks like the headlight may be cracked, so please review that part.",car,True,The claimed object and part are visible with sufficient image quality,wrong_angle;wrong_object,unknown,headlight,not_enough_information,The submitted images do not provide evidence for the claimed damage,none,False,unknown
user_003,images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg,"Customer: There is a dent along the side of my car. | Support: When did you notice it? | Customer: This morning, after the car had been parked near the gate. | Support: Is it near the front or back? | Customer: It is on the door panel area. I attached two photos from different distances.",car,True,The claimed object and part are visible with sufficient image quality,blurry_image;wrong_object,dent,door,supported,A significant inward dent is visible on the front door panel of the car.,img_2,True,medium
user_008,images/sample/case_008/img_1.jpg,"Customer: I picked up my car after service and noticed a mark on the hood. | Support: What kind of mark is it? | Customer: It looks like a scratch across the top panel. | Support: Do you think it happened during service? | Customer: Yes, that is why I am asking for review. The photo is attached.",car,True,The claimed object and part are visible with sufficient image quality,low_light_or_glare;wrong_object;user_history_risk;manual_review_required,scratch,hood,supported,The visible evidence supports the claim,none,False,low
user_009,images/sample/case_009/img_1.jpg,"Customer: My laptop fell from the table yesterday. | Support: Is it turning on? | Customer: It turns on, but the display glass has a crack now. | Support: Are you reporting the screen only or the whole laptop? | Customer: The screen is the issue. I attached a photo of it open.",laptop,True,The claimed object and part are visible with sufficient image quality,none,crack,screen,supported,"The laptop screen has a severe spiderweb crack originating from a central impact point, covering the entire display area.",img_1,True,medium
user_010,images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg,"Customer: The laptop no longer opens smoothly. | Support: What seems to be wrong mechanically? | Customer: The hinge area has broken and the screen wobbles. | Support: Did this happen after a drop? | Customer: Yes, it slipped from the sofa. I uploaded photos from the outside and side.",laptop,True,The claimed object and part are visible with sufficient image quality,wrong_angle;wrong_object,broken_part,hinge,supported,"The plastic casing around the left hinge is broken and separated from the screen bezel, exposing internal components.",img_1,True,high
